Checked,name_en,name_ja,key_author,affiliation_en,affiliation_ja,mail
1,"Matsuura, Satoshi",松浦 聰,SATOSHI MATSUURA,,,
1,"Matsuura, Toshio ",松浦 敏雄,TOSHIO MATSUURA,,,
,"Michishita, Tomoyuki",道下 智之,道下 智之,,,
,"Mikami, Koji",三上 浩司,三上 浩司,,,
,Min Chen,,MIN CHEN,,,
1,"Minami, Yasuhiko ",南 靖彦,YASUHIKO MINAMI,,,
,Ming Zhu,,MING ZHU,,,
,Mingchu Li,,MINGCHU LI,,,
,Minghua Pei,,MINGHUA PEI,,,
,Mingyang Sun,,MINGYANG SUN,,,
,Mithun Mukherjee,,MITHUN MUKHERJEE,,,
1,"Miura, Naoki",三浦 直樹,NAOKI MIURA,,,
1,"Miura, Yasushi",三浦 康史,KOUJI MIURA,,,
1,"Miyahara, Hideo",宮原 秀夫,HIDEO MIYAHARA,,,
,"Miyahara, Shinji",宮原 伸二,宮原 伸二,,,
1,"Miyahara, Toshio",,MIYAHARA TOSHIO,,,
1,"Miyaji, Ryosuke",,MIYAJI RYOSUKE,,,
1,"Miyamae, Masakazu",宮前 雅一,MASAKAZU MIYAMAE,,,
1,"Miyamoto, Hiroki",宮本 大樹,HIROKI MIYAMOTO,,,
,"Miyamoto, Kazuhiko",宮本 和彦,宮本 和彦,,,
1,"Miyanishi, Taiki ",宮西 大樹,TAIKI MIYANISHI,,,
1,"Miyashita, Koichi",宮下 浩一,KOICHI MIYASHITA,,,
,"Miyauchi, Tenshi",宮内 天士,宮内 天士,Osaka University,大阪大学,
1,"Miyazaki, Tomomi ",宮崎 知美,TOMOMI MIYAZAKI,,,
1,"Mizuno, Seiya",水野 聖也,SEIYA MIZUNO,,,
,"Mizuno, Shinshi",水野 慎士,水野 慎士,,,
,"Mizuta, Tomohiro",水田 智史,水田 智史,,,
,"Mizutani, Yuichi",水谷 友一,水谷 友一,,,
,Mohsen Guizani,,MOHSEN GUIZANI,,,
,"Morisawa, Kazuaki",森澤 和明,森澤 和明,,,
,"Morita, Kazunobu",森田 和延,森田 和延,,,
,"Morita, Keiko",森田 敬子,森田 敬子,,,
,"Moriya, Takaaki",森谷 高明,森谷 高明,,,
,Moustafa Youssef,,MOUSTAFA YOUSSEF,,,
,Muhammad Mostafa Monowar,,MUHAMMAD MOSTAFA MONOWAR,,,
,"Murakami, Norishige",村上 礼繁,村上礼繁,,,
,"Murakami, Norishige",,NORISHIGE MURAKAMI,,,
,"Murakami, Takazo",村上 孝三,村上 孝三,,,
1,"Murao, Kazuya",村尾 和哉,MURAO KAZUYA,,,
1,"Murase, Toru",村瀬 亨,MURASE TORU,,,
